;AGG0;AGG1;AGG2
Corel5k_0;0.000000;0.000000;0.013160
Corel5k_1;0.015115;0.000000;0.026600
Corel5k_2;0.042268;0.000000;0.010742
Corel5k_3;0.026320;0.016387;0.015450
Corel5k_4;0.037316;0.019365;0.014048
Corel5k_5;0.002668;0.000532;0.010589
Corel5k_6;0.009127;0.008197;0.008502
Corel5k_7;0.015001;0.023646;0.017657
Corel5k_8;0.009466;0.003915;0.020333
Corel5k_9;0.014286;0.006923;0.003920
Corel5k_10;0.011713;0.016855;0.014663
Corel5k_11;0.001160;0.000564;0.002319
Corel5k_12;0.000000;0.029959;0.003138
Corel5k_13;0.016157;0.021413;0.013086
Corel5k_14;0.004378;0.004457;0.007565
Corel5k_15;0.024215;0.018241;0.008870
Corel5k_16;0.005402;0.000791;0.004220
Corel5k_17;0.019041;0.006626;0.012256
Corel5k_18;0.017876;0.004679;0.013474
Corel5k_19;0.000267;0.000706;0.000000
Corel5k_20;0.002389;0.000000;0.008598
Corel5k_21;0.000000;0.000000;0.016389
Corel5k_22;0.036161;0.000000;0.028784
Corel5k_23;0.016205;0.022215;0.016253
Corel5k_24;0.011721;0.018993;0.020052
Corel5k_25;0.020361;0.023765;0.021502
Corel5k_26;0.008564;0.014097;0.021736
Corel5k_27;0.033602;0.026188;0.022207
Corel5k_28;0.045030;0.046860;0.038397
Corel5k_29;0.025865;0.017517;0.016974
Corel5k_30;0.032319;0.026977;0.021605
20NG_1;0.776596;0.687873;0.733989
20NG_2;0.717909;0.696435;0.624586
20NG_3;0.759481;0.761040;0.742149
20NG_4;0.802221;0.792271;0.742586
20NG_27;0.751245;0.765237;0.742828
20NG_28;0.822973;0.805302;0.798793
20NG_29;0.789071;0.749994;0.762063
20NG_30;0.794803;0.765639;0.771285
yeast_1;0.352526;0.350890;0.356014
yeast_2;0.404995;0.428802;0.427627
yeast_3;0.474562;0.556678;0.533899
yeast_4;0.359951;0.382772;0.397990
yeast_5;0.306300;0.288635;0.421784
yeast_6;0.393983;0.490872;0.390127
yeast_7;0.519572;0.430870;0.451244
yeast_8;0.379859;0.419022;0.418662
yeast_9;0.476329;0.410303;0.384867
yeast_10;0.439054;0.429148;0.463902
yeast_11;0.426781;0.384360;0.407095
yeast_12;0.428622;0.473964;0.455603
yeast_13;0.429914;0.371926;0.456577
yeast_14;0.422890;0.403138;0.422006
yeast_15;0.408945;0.369017;0.405172
yeast_16;0.459363;0.491438;0.400079
yeast_17;0.468520;0.518550;0.518492
yeast_18;0.418135;0.442361;0.401326
yeast_19;0.408930;0.430470;0.474726
yeast_20;0.344940;0.409104;0.416600
yeast_21;0.388186;0.507057;0.466151
yeast_22;0.485841;0.446807;0.431574
yeast_23;0.512219;0.535539;0.437223
yeast_24;0.412138;0.404635;0.442581
yeast_25;0.522855;0.436702;0.461458
yeast_26;0.536336;0.521387;0.492488
yeast_27;0.475532;0.443065;0.365408
yeast_28;0.412860;0.408416;0.466139
yeast_29;0.471624;0.447956;0.447479
yeast_30;0.524577;0.498520;0.470504
Reuters_1;0.014003;0.000740;0.006576
Reuters_2;0.025983;0.024723;0.131991
Reuters_3;0.050909;0.062054;0.075255
Reuters_4;0.091025;0.025584;0.083339
Reuters_40;0.038632;0.034632;0.000000
mediamill_1;0.117521;0.117521;0.112437
mediamill_2;0.109894;0.060165;0.128567
mediamill_3;0.097402;0.122300;0.115654
mediamill_4;0.120238;0.072936;0.120646
mediamill_5;0.104894;0.124810;0.105193
mediamill_6;0.128792;0.107364;0.119750
mediamill_7;0.125718;0.124384;0.125507
mediamill_8;0.114865;0.116650;0.113894
mediamill_9;0.060326;0.067190;0.060326
mediamill_10;0.116327;0.116327;0.116327
mediamill_11;0.074391;0.074391;0.074391
mediamill_12;0.094870;0.101071;0.080697
mediamill_13;0.092409;0.092409;0.099048
mediamill_14;0.055425;0.057687;0.071011
mediamill_15;0.108848;0.107032;0.107414
mediamill_16;0.103465;0.101570;0.105923
mediamill_17;0.115543;0.114289;0.115472
mediamill_18;0.128880;0.133945;0.131433
mediamill_19;0.102973;0.055452;0.107781
mediamill_20;0.097936;0.101802;0.100516
mediamill_21;0.154149;0.153085;0.142126
mediamill_22;0.100530;0.097822;0.093399
mediamill_23;0.111767;0.094697;0.113031
mediamill_24;0.094353;0.103539;0.094353
mediamill_25;0.122538;0.123383;0.121029
mediamill_26;0.112880;0.111874;0.111197
mediamill_27;0.115305;0.104187;0.112751
mediamill_28;0.106434;0.126885;0.120781
