dataset;FED AGG 2;NO FED
Corel5k_0;0.013160;0.063294
Corel5k_1;0.026600;0.057262
Corel5k_2;0.010742;0.067707
Corel5k_3;0.015450;0.047867
Corel5k_4;0.014048;0.074403
Corel5k_5;0.010589;0.059854
Corel5k_6;0.008502;0.053318
Corel5k_7;0.017657;0.051430
Corel5k_8;0.020333;0.048792
Corel5k_9;0.003920;0.040540
Corel5k_10;0.014663;0.051718
Corel5k_11;0.002319;0.051639
Corel5k_12;0.003138;0.064270
Corel5k_13;0.013086;0.041201
Corel5k_14;0.007565;0.052051
Corel5k_15;0.008870;0.055969
Corel5k_16;0.004220;0.068934
Corel5k_17;0.012256;0.038804
Corel5k_18;0.013474;0.057129
Corel5k_19;0.000000;0.068946
Corel5k_20;0.008598;0.043018
Corel5k_21;0.016389;0.045190
Corel5k_22;0.028784;0.048804
Corel5k_23;0.016253;0.047307
Corel5k_24;0.020052;0.059813
Corel5k_25;0.021502;0.064137
Corel5k_26;0.021736;0.048683
Corel5k_27;0.022207;0.047776
Corel5k_28;0.038397;0.064821
Corel5k_29;0.016974;0.058320
Corel5k_30;0.021605;0.048915
20NG_1;0.733989;0.811692
20NG_2;0.624586;0.715241
20NG_3;0.742149;0.763767
20NG_4;0.742586;0.832990
20NG_27;0.742828;0.639876
20NG_28;0.798793;0.826651
20NG_29;0.762063;0.658292
20NG_30;0.771285;0.805486
yeast_1;0.356014;0.503596
yeast_2;0.427627;0.467142
yeast_3;0.533899;0.579847
yeast_4;0.397990;0.401230
yeast_5;0.421784;0.501032
yeast_6;0.390127;0.515173
yeast_7;0.451244;0.533613
yeast_8;0.418662;0.466030
yeast_9;0.384867;0.497820
yeast_10;0.463902;0.449251
yeast_11;0.407095;0.490762
yeast_12;0.455603;0.487201
yeast_13;0.456577;0.476451
yeast_14;0.422006;0.470874
yeast_15;0.405172;0.475745
yeast_16;0.400079;0.492550
yeast_17;0.518492;0.487972
yeast_18;0.401326;0.429429
yeast_19;0.474726;0.451765
yeast_20;0.416600;0.435362
yeast_21;0.466151;0.475569
yeast_22;0.431574;0.474329
yeast_23;0.437223;0.430253
yeast_24;0.442581;0.482856
yeast_25;0.461458;0.466915
yeast_26;0.492488;0.508203
yeast_27;0.365408;0.439351
yeast_28;0.466139;0.447038
yeast_29;0.447479;0.469809
yeast_30;0.470504;0.505230
Reuters_1;0.006576;0.028612
Reuters_2;0.131991;0.141569
Reuters_3;0.075255;0.165630
Reuters_4;0.083339;0.172905
Reuters_40;0.000000;0.047806
mediamill_1;0.112437;0.133513
mediamill_2;0.128567;0.129554
mediamill_3;0.115654;0.126713
mediamill_4;0.120646;0.149009
mediamill_5;0.105193;0.147954
mediamill_6;0.119750;0.162276
mediamill_7;0.125507;0.162356
mediamill_8;0.113894;0.143406
mediamill_9;0.060326;0.127892
mediamill_10;0.116327;0.145137
mediamill_11;0.074391;0.134510
mediamill_12;0.080697;0.148516
mediamill_13;0.099048;0.313726
mediamill_14;0.071011;0.081051
mediamill_15;0.107414;0.145892
mediamill_16;0.105923;0.149051
mediamill_17;0.115472;0.137936
mediamill_18;0.131433;0.154443
mediamill_19;0.107781;0.153877
mediamill_20;0.100516;0.101973
mediamill_21;0.142126;0.182718
mediamill_22;0.093399;0.168840
mediamill_23;0.113031;0.119888
mediamill_24;0.094353;0.143091
mediamill_25;0.121029;0.172176
mediamill_26;0.111197;0.152291
mediamill_27;0.112751;0.181981
mediamill_28;0.120781;0.155360
mediamill_29;0.111484;0.137218
mediamill_30;0.111667;0.142771
yahoo_1;0.303930;0.340789
yahoo_2;0.287646;0.281795
yahoo_28;0.325449;0.341737
yahoo_29;0.334708;0.307677
yahoo_30;0.306500;0.125766
slashdot_1;0.272857;0.301938
slashdot_2;0.224170;0.411638
slashdot_3;0.119792;0.436088
slashdot_20;0.249065;0.346468
slashdot_21;0.137763;0.332302
Human_PseAAc_1;0.226185;0.341600
Human_PseAAc_2;0.125309;0.346026
Human_PseAAc_3;0.219897;0.416869
Human_PseAAc_20;0.195592;0.391499
Human_PseAAc_21;0.253507;0.351447
scene_1;0.711964;0.729662
scene_2;0.776834;0.731360
scene_3;0.697330;0.667880
scene_4;0.761740;0.771372
scene_5;0.780504;0.761935
scene_6;0.612833;0.632822
scene_7;0.752148;0.742212
scene_8;0.824886;0.822804
scene_9;0.763409;0.802329
scene_10;0.780175;0.811890
scene_11;0.744480;0.734215
scene_12;0.810043;0.732410
scene_13;0.794120;0.819035
scene_14;0.730915;0.715719
scene_15;0.794544;0.719353
scene_16;0.733511;0.725851
scene_17;0.802711;0.778617
scene_18;0.744603;0.796705
scene_19;0.819283;0.815168
scene_20;0.805455;0.797268
scene_21;0.824504;0.841705
scene_22;0.649194;0.715036
scene_23;0.772256;0.748381
scene_24;0.689899;0.431740
scene_25;0.767319;0.402514
scene_26;0.759364;0.777934
scene_27;0.629824;0.782470
scene_28;0.815420;0.824512
scene_29;0.781221;0.814281
scene_30;0.641150;0.721190
tmc2007_500_1;0.686806;0.683017
tmc2007_500_2;0.653228;0.725037
tmc2007_500_3;0.671421;0.680316
tmc2007_500_4;0.681905;0.731229
tmc2007_500_5;0.614710;0.698308
tmc2007_500_6;0.692522;0.692647
tmc2007_500_7;0.321108;0.332641
tmc2007_500_8;0.660195;0.693539
tmc2007_500_9;0.685603;0.716804
tmc2007_500_10;0.688980;0.687018
tmc2007_500_11;0.355202;0.371373
tmc2007_500_12;0.697003;0.722854
tmc2007_500_13;0.701376;0.703528
tmc2007_500_14;0.564116;0.654300
tmc2007_500_15;0.537587;0.512097
tmc2007_500_16;0.587300;0.710537
tmc2007_500_17;0.472098;0.651939
tmc2007_500_18;0.626707;0.665794
tmc2007_500_19;0.644322;0.688249
tmc2007_500_20;0.644155;0.657540
tmc2007_500_21;0.656938;0.631556
tmc2007_500_22;0.654957;0.723117
tmc2007_500_23;0.577161;0.643473
tmc2007_500_24;0.570337;0.705301
tmc2007_500_25;0.627085;0.678330
tmc2007_500_26;0.681800;0.713622
tmc2007_500_27;0.692599;0.701868
tmc2007_500_28;0.686679;0.721612
tmc2007_500_29;0.651401;0.645479
tmc2007_500_30;0.654917;0.698906
