;AGG0;AGG1;AGG2
Corel5k_0;0.009225;0.000000;0.012190
Corel5k_1;0.013862;0.000000;0.017539
Corel5k_2;0.037040;0.000000;0.017145
Corel5k_3;0.008098;0.004359;0.005415
Corel5k_4;0.017181;0.009444;0.006492
Corel5k_5;0.004167;0.009349;0.010773
Corel5k_6;0.011136;0.010081;0.009919
Corel5k_7;0.014434;0.020675;0.017881
Corel5k_8;0.011998;0.004360;0.018190
Corel5k_9;0.010713;0.010387;0.005959
Corel5k_10;0.010787;0.011402;0.010093
Corel5k_11;0.002465;0.006007;0.004393
Corel5k_12;0.000000;0.012002;0.002438
Corel5k_13;0.017345;0.007151;0.010193
Corel5k_14;0.011011;0.006563;0.004750
Corel5k_15;0.020158;0.013198;0.013364
Corel5k_16;0.013596;0.007229;0.005545
Corel5k_17;0.016454;0.005055;0.005756
Corel5k_18;0.008636;0.003570;0.014211
Corel5k_19;0.001250;0.002485;0.001340
Corel5k_20;0.001923;0.000000;0.009222
Corel5k_21;0.000000;0.000000;0.005352
Corel5k_22;0.024925;0.000000;0.024410
Corel5k_23;0.014041;0.021849;0.014182
Corel5k_24;0.017639;0.016890;0.018001
Corel5k_25;0.023565;0.018151;0.009431
Corel5k_26;0.014657;0.004711;0.016336
Corel5k_27;0.023317;0.023571;0.019176
Corel5k_28;0.012000;0.023708;0.021700
Corel5k_29;0.022784;0.017987;0.016057
Corel5k_30;0.018270;0.026726;0.021078
20NG_1;0.692467;0.638273;0.632177
20NG_2;0.615010;0.623761;0.563104
20NG_3;0.634677;0.629917;0.602512
20NG_4;0.784527;0.796095;0.772301
20NG_27;0.691791;0.688187;0.669849
20NG_28;0.778854;0.755601;0.739748
20NG_29;0.672350;0.662693;0.648292
20NG_30;0.733632;0.730498;0.712385
yeast_1;0.338568;0.339948;0.341668
yeast_2;0.400089;0.409863;0.407922
yeast_3;0.399731;0.503334;0.493442
yeast_4;0.303359;0.365160;0.370534
yeast_5;0.288810;0.291261;0.326406
yeast_6;0.371958;0.430076;0.334869
yeast_7;0.466935;0.399047;0.413777
yeast_8;0.327440;0.423160;0.411487
yeast_9;0.434274;0.417315;0.371398
yeast_10;0.449074;0.410860;0.443063
yeast_11;0.439244;0.368184;0.406036
yeast_12;0.403261;0.456882;0.461686
yeast_13;0.412037;0.360500;0.458045
yeast_14;0.415805;0.386497;0.435512
yeast_15;0.398397;0.324948;0.415473
yeast_16;0.436212;0.476434;0.386000
yeast_17;0.470331;0.480696;0.496297
yeast_18;0.501410;0.473914;0.383215
yeast_19;0.371656;0.378128;0.471486
