dataset;FED AGG 2;NO FED
Corel5k_0;0.012190;0.024530
Corel5k_1;0.017539;0.016630
Corel5k_2;0.017145;0.041851
Corel5k_3;0.005415;0.009351
Corel5k_4;0.006492;0.027791
Corel5k_5;0.010773;0.022694
Corel5k_6;0.009919;0.017762
Corel5k_7;0.017881;0.027621
Corel5k_8;0.018190;0.013293
Corel5k_9;0.005959;0.021345
Corel5k_10;0.010093;0.024394
Corel5k_11;0.004393;0.014190
Corel5k_12;0.002438;0.012547
Corel5k_13;0.010193;0.012173
Corel5k_14;0.004750;0.020845
Corel5k_15;0.013364;0.023539
Corel5k_16;0.005545;0.020923
Corel5k_17;0.005756;0.013945
Corel5k_18;0.014211;0.025159
Corel5k_19;0.001340;0.013070
Corel5k_20;0.009222;0.014211
Corel5k_21;0.005352;0.007972
Corel5k_22;0.024410;0.033567
Corel5k_23;0.014182;0.025639
Corel5k_24;0.018001;0.029724
Corel5k_25;0.009431;0.028314
Corel5k_26;0.016336;0.022274
Corel5k_27;0.019176;0.028701
Corel5k_28;0.021700;0.035581
Corel5k_29;0.016057;0.018673
Corel5k_30;0.021078;0.015799
20NG_1;0.632177;0.739273
20NG_2;0.563104;0.660428
20NG_3;0.602512;0.693636
20NG_4;0.772301;0.805247
20NG_27;0.669849;0.556306
20NG_28;0.739748;0.825464
20NG_29;0.648292;0.614290
20NG_30;0.712385;0.769310
yeast_1;0.341668;0.485822
yeast_2;0.407922;0.464575
yeast_3;0.493442;0.531726
yeast_4;0.370534;0.355351
yeast_5;0.326406;0.476481
yeast_6;0.334869;0.522923
yeast_7;0.413777;0.482132
yeast_8;0.411487;0.424713
yeast_9;0.371398;0.450042
yeast_10;0.443063;0.454837
yeast_11;0.406036;0.495900
yeast_12;0.461686;0.512030
yeast_13;0.458045;0.438343
yeast_14;0.435512;0.428693
yeast_15;0.415473;0.496235
yeast_16;0.386000;0.471131
yeast_17;0.496297;0.501202
yeast_18;0.383215;0.450497
yeast_19;0.471486;0.473217
yeast_20;0.392362;0.450377
yeast_21;0.463638;0.507521
yeast_22;0.406460;0.481443
yeast_23;0.357660;0.445074
yeast_24;0.391644;0.427289
yeast_25;0.388844;0.494859
yeast_26;0.458615;0.517769
yeast_27;0.307475;0.399666
yeast_28;0.425461;0.464972
yeast_29;0.436246;0.476404
yeast_30;0.510670;0.521556
Reuters_1;0.006181;0.022060
Reuters_2;0.075579;0.032860
Reuters_3;0.021779;0.040281
Reuters_4;0.031682;0.037768
Reuters_40;0.000000;0.020979
mediamill_1;0.099408;0.116598
mediamill_2;0.114168;0.120591
mediamill_3;0.105263;0.144713
mediamill_4;0.121020;0.146655
mediamill_5;0.103241;0.157652
mediamill_6;0.115952;0.154394
mediamill_7;0.127243;0.159505
mediamill_8;0.112773;0.145685
mediamill_9;0.060905;0.151959
mediamill_10;0.119614;0.143854
mediamill_11;0.077814;0.155290
mediamill_12;0.080153;0.150676
mediamill_13;0.098926;0.167171
mediamill_14;0.075145;0.079163
mediamill_15;0.106873;0.145869
mediamill_16;0.114581;0.141334
mediamill_17;0.114652;0.168200
mediamill_18;0.128192;0.147604
mediamill_19;0.115159;0.140024
mediamill_20;0.101719;0.110020
mediamill_21;0.139599;0.158497
mediamill_22;0.103125;0.165692
mediamill_23;0.113630;0.128219
mediamill_24;0.096801;0.144691
mediamill_25;0.121744;0.159688
mediamill_26;0.113795;0.193821
mediamill_27;0.109556;0.176879
mediamill_28;0.112395;0.158750
mediamill_29;0.110214;0.139012
