;AGG0;AGG1;AGG2;;;;;
Corel5k_0;0.217054;0.210748;0.235962;;;;;
Corel5k_1;0.211798;0.186404;0.191946;;;;;
Corel5k_2;0.223494;0.181699;0.202361;;;;;
Corel5k_3;0.202343;0.223916;0.198974;;;;;
Corel5k_4;0.178973;0.205977;0.193015;;;;;
Corel5k_5;0.244757;0.266952;0.267317;;;;;
Corel5k_6;0.225285;0.220014;0.227211;;;;;
Corel5k_7;0.402825;0.357544;0.397462;;;;;
Corel5k_8;0.231744;0.280531;0.222503;;;;;
Corel5k_9;0.200678;0.234033;0.220670;;;;;
Corel5k_10;0.283123;0.332045;0.305731;;;;;
Corel5k_11;0.234363;0.228655;0.233274;;;;;
Corel5k_12;0.245491;0.266860;0.266748;;;;;
Corel5k_13;0.197015;0.209515;0.165084;;;;;
Corel5k_14;0.175586;0.192706;0.194682;;;;;
Corel5k_15;0.185022;0.182476;0.174490;;;;;
Corel5k_16;0.232474;0.205575;0.238015;;;;;
Corel5k_17;0.222983;0.191401;0.184230;;;;;
Corel5k_18;0.192193;0.187977;0.168314;;;;;
Corel5k_19;0.135056;0.205563;0.193941;;;;;
Corel5k_20;0.140568;0.132990;0.144529;;;;;
Corel5k_21;0.125185;0.153815;0.106364;;;;;
Corel5k_22;0.255705;0.166935;0.169360;;;;;
Corel5k_23;0.281981;0.244690;0.261951;;;;;
Corel5k_24;0.235474;0.241880;0.234959;;;;;
Corel5k_25;0.237456;0.211725;0.229873;;;;;
Corel5k_26;0.161266;0.021734;0.187021;;;;;
Corel5k_27;0.204577;0.179728;0.208610;;;;;
Corel5k_28;0.217545;0.224527;0.239928;;;;;
Corel5k_29;0.215262;0.235730;0.342141;;;;;
Corel5k_30;0.209967;0.224088;0.237609;;;;;
20NG_1;0.799822;0.714746;0.752468;;;;;
20NG_2;0.741952;0.726681;0.672124;;;;;
20NG_3;0.776655;0.778958;0.762537;;;;;
20NG_4;0.815161;0.803336;0.808834;;;;;
20NG_27;0.768413;0.777917;0.745758;;;;;
20NG_28;0.831843;0.824398;0.812311;;;;;
20NG_29;0.792235;0.763361;0.767618;;;;;
20NG_30;0.804195;0.807999;0.802123;;;;;
yeast_1;0.558296;0.575510;0.568431;;;;;
yeast_2;0.641559;0.634819;0.640808;;;;;
yeast_3;0.299025;0.329447;0.365187;;;;;
yeast_4;0.553368;0.522170;0.536056;;;;;
yeast_5;0.679010;0.679010;0.672770;;;;;
yeast_6;0.564899;0.662343;0.566986;;;;;
yeast_7;0.474972;0.480212;0.510172;;;;;
yeast_8;0.574317;0.594948;0.562226;;;;;
yeast_9;0.541204;0.564888;0.565178;;;;;
yeast_10;0.606491;0.588221;0.594601;;;;;
yeast_11;0.538487;0.513131;0.520840;;;;;
yeast_12;0.550839;0.547300;0.552408;;;;;
yeast_13;0.661894;0.671541;0.621510;;;;;
yeast_14;0.516771;0.520174;0.510501;;;;;
yeast_15;0.631209;0.607220;0.603703;;;;;
yeast_16;0.703481;0.553548;0.718581;;;;;
yeast_17;0.676875;0.629021;0.631998;;;;;
yeast_18;0.584653;0.623755;0.564781;;;;;
yeast_19;0.578381;0.601084;0.525998;;;;;
yeast_20;0.637491;0.628370;0.625723;;;;;
yeast_21;0.544522;0.486309;0.537855;;;;;
yeast_22;0.580505;0.630579;0.633290;;;;;
yeast_23;0.617359;0.558787;0.647346;;;;;
yeast_24;0.663168;0.662461;0.615959;;;;;
yeast_25;0.601008;0.548336;0.532407;;;;;
yeast_26;0.465602;0.464828;0.503404;;;;;
yeast_27;0.584005;0.586329;0.577209;;;;;
yeast_28;0.583117;0.551213;0.557708;;;;;
yeast_29;0.677458;0.693146;0.698860;;;;;
yeast_30;0.625924;0.570980;0.591449;;;;;
Reuters_1;0.190288;0.178179;0.381491;;;;;
Reuters_2;0.247965;0.147741;0.354804;;;;;
Reuters_3;0.259566;0.287502;0.293188;;;;;
Reuters_4;0.322636;0.366607;0.320066;;;;;
Reuters_40;0.204649;0.230324;0.296390;;;;;
mediamill_1;0.535195;0.535195;0.535195;;;;;
mediamill_2;0.550273;0.508921;0.564473;;;;;
mediamill_3;0.656065;0.530570;0.650836;;;;;
mediamill_4;0.527888;0.475545;0.540504;;;;;
mediamill_5;0.635691;0.648961;0.622200;;;;;
mediamill_6;0.689988;0.664914;0.693180;;;;;
mediamill_7;0.629446;0.637311;0.623013;;;;;
mediamill_8;0.675157;0.675048;0.676188;;;;;
mediamill_9;0.512368;0.512233;0.512368;;;;;
mediamill_10;0.691489;0.691489;0.691489;;;;;
mediamill_11;0.519887;0.519887;0.519887;;;;;
mediamill_12;0.603715;0.603715;0.603715;;;;;
mediamill_13;0.543966;0.543966;0.568799;;;;;
mediamill_14;0.492191;0.493631;0.526152;;;;;
mediamill_15;0.619162;0.618992;0.618701;;;;;
mediamill_16;0.614649;0.617816;0.625174;;;;;
mediamill_17;0.699981;0.701414;0.696141;;;;;
mediamill_18;0.640141;0.632266;0.632389;;;;;
mediamill_19;0.578483;0.586332;0.572137;;;;;
mediamill_20;0.605251;0.608737;0.602149;;;;;
mediamill_21;0.673946;0.670009;0.662408;;;;;
mediamill_22;0.551609;0.561019;0.556182;;;;;
mediamill_23;0.654660;0.627900;0.648594;;;;;
mediamill_24;0.622838;0.654474;0.632766;;;;;
mediamill_25;0.603081;0.599661;0.603743;;;;;
mediamill_26;0.615596;0.611763;0.614166;;;;;
mediamill_27;0.547097;0.544905;0.519520;;;;;
mediamill_28;0.620424;0.627998;0.630126;;;;;
mediamill_29;0.674457;0.674093;0.683626;;;;;
mediamill_30;0.557924;0.549233;0.551210;;;;;
yahoo_1;0.646282;0.630485;0.622626;;;;;
yahoo_2;0.676288;0.657059;0.699149;;;;;
yahoo_28;0.680532;0.687474;0.685281;;;;;
