;AGG0;AGG1;AGG2;;;;
Corel5k_0;0.243265;0.220139;0.229809;;;;
Corel5k_1;0.191468;0.198330;0.183256;;;;
Corel5k_2;0.252242;0.176395;0.192422;;;;
Corel5k_3;0.178060;0.165021;0.184690;;;;
Corel5k_4;0.165067;0.165265;0.183383;;;;
Corel5k_5;0.242584;0.274673;0.306451;;;;
Corel5k_6;0.244490;0.236904;0.244893;;;;
Corel5k_7;0.411494;0.393441;0.400937;;;;
Corel5k_8;0.254342;0.277993;0.209367;;;;
Corel5k_9;0.152214;0.258079;0.210657;;;;
Corel5k_10;0.230927;0.259881;0.260407;;;;
Corel5k_11;0.193476;0.193503;0.170465;;;;
Corel5k_12;0.183749;0.198934;0.198948;;;;
Corel5k_13;0.166966;0.189772;0.159959;;;;
Corel5k_14;0.153807;0.168186;0.161574;;;;
Corel5k_15;0.171271;0.169367;0.172193;;;;
Corel5k_16;0.242848;0.231379;0.210734;;;;
Corel5k_17;0.212027;0.168640;0.138151;;;;
Corel5k_18;0.236539;0.176148;0.132316;;;;
Corel5k_19;0.170221;0.189701;0.178196;;;;
Corel5k_20;0.128415;0.159374;0.106075;;;;
Corel5k_21;0.154042;0.137913;0.076250;;;;
Corel5k_22;0.173450;0.161325;0.163335;;;;
Corel5k_23;0.316304;0.281892;0.245251;;;;
Corel5k_24;0.257097;0.192730;0.208554;;;;
Corel5k_25;0.222099;0.208590;0.203461;;;;
Corel5k_26;0.184307;0.033761;0.183116;;;;
Corel5k_27;0.170962;0.216750;0.158936;;;;
Corel5k_28;0.245218;0.208525;0.249201;;;;
Corel5k_29;0.330117;0.311181;0.356240;;;;
Corel5k_30;0.238782;0.172069;0.175545;;;;
20NG_1;0.724394;0.655023;0.639955;;;;
20NG_2;0.635760;0.640383;0.576073;;;;
20NG_3;0.657721;0.656779;0.629418;;;;
20NG_4;0.792074;0.814064;0.788999;;;;
20NG_27;0.705193;0.685603;0.696789;;;;
20NG_28;0.794004;0.774311;0.743474;;;;
20NG_29;0.677612;0.678686;0.655099;;;;
20NG_30;0.737735;0.747845;0.737796;;;;
yeast_1;0.584976;0.586406;0.585997;;;;
yeast_2;0.685065;0.676497;0.688370;;;;
yeast_3;0.538219;0.400560;0.469878;;;;
