dataset;FED AGG 2;NO FED
Corel5k_0;0.229809;0.134152
Corel5k_1;0.183256;0.174731
Corel5k_2;0.192422;0.211513
Corel5k_3;0.184690;0.190177
Corel5k_4;0.183383;0.183383
Corel5k_5;0.306451;0.257994
Corel5k_6;0.244893;0.210466
Corel5k_7;0.400937;0.376726
Corel5k_8;0.209367;0.198746
Corel5k_9;0.210657;0.183484
Corel5k_10;0.260407;0.230806
Corel5k_11;0.170465;0.168570
Corel5k_12;0.198948;0.170620
Corel5k_13;0.159959;0.160532
Corel5k_14;0.161574;0.149134
Corel5k_15;0.172193;0.222637
Corel5k_16;0.210734;0.181448
Corel5k_17;0.138151;0.200056
Corel5k_18;0.132316;0.179848
Corel5k_19;0.178196;0.146342
Corel5k_20;0.106075;0.121969
Corel5k_21;0.076250;0.093576
Corel5k_22;0.163335;0.156331
Corel5k_23;0.245251;0.227026
Corel5k_24;0.208554;0.233777
Corel5k_25;0.203461;0.190343
Corel5k_26;0.183116;0.213604
Corel5k_27;0.158936;0.228937
Corel5k_28;0.249201;0.247662
Corel5k_29;0.356240;0.292902
Corel5k_30;0.175545;0.214071
20NG_1;0.639955;0.764698
20NG_2;0.576073;0.668944
20NG_3;0.629418;0.715554
20NG_4;0.788999;0.821931
20NG_27;0.696789;0.614679
20NG_28;0.743474;0.842094
20NG_29;0.655099;0.664251
20NG_30;0.737796;0.795918
yeast_1;0.585997;0.582441
yeast_2;0.688370;0.590668
yeast_3;0.469878;0.296452
yeast_4;0.594120;0.595900
yeast_5;0.635556;0.616036
yeast_6;0.644604;0.688606
yeast_7;0.439377;0.481220
yeast_8;0.625663;0.578110
yeast_9;0.541963;0.535569
yeast_10;0.560015;0.528590
yeast_11;0.551095;0.508183
yeast_12;0.588337;0.540967
yeast_13;0.608216;0.573365
yeast_14;0.491449;0.467818
yeast_15;0.655171;0.594219
yeast_16;0.697240;0.584405
yeast_17;0.591897;0.566094
yeast_18;0.567556;0.592638
yeast_19;0.517130;0.535189
yeast_20;0.633461;0.532392
yeast_21;0.592046;0.536900
